Country,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)$",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP)$,Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latitude,Longitude
Micronesia,Asia-Pacific,149.0,38.0,51.9,7.6,26.6,36.6,92.8,0.0,98.8,57.4,71.9,85.8,80.6,35.0,30.0,2.2,10.0,21.0,13.2,59.2,1.0,3.0,2.0,0.7,3393.0,73.96685082872928,0.5,81281.39779005524,24.5,7.425554,150.550812
Moldova,Europe,97.0,40.0,59.1,55.2,29.6,25.4,85.4,59.1,92.0,67.0,39.0,73.5,78.0,55.0,50.0,3.5,18.0,12.0,31.5,36.9,35.0,201.0,4.0,4.4,5661.0,45.0,6.6,2138.0,37.7,47.411631,28.369885
Mongolia,Asia-Pacific,126.0,29.0,55.4,48.2,23.8,29.8,88.5,63.1,6.2,66.0,75.0,77.8,75.8,50.0,60.0,4.6,10.0,25.0,20.7,35.1,31.0,397.0,5.1,5.7,12979.0,70.0,4.6,14944.0,91.4,46.862496,103.846656
Montenegro,Europe,92.0,39.0,60.5,55.4,51.8,39.5,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75.0,50.0,2.6,9.0,9.0,36.1,47.4,6.0,110.0,4.2,3.2,17736.0,161.0,2.4,5459.0,67.5,42.708678,19.37439
Morocco,Middle East and North Africa,75.0,6.0,62.9,57.2,47.1,39.2,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65.0,70.0,3.8,38.0,30.0,20.9,30.2,349.0,2986.0,4.2,3.4,8567.0,93.0,0.8,26514.0,64.4,31.791702,-7.09262
Mozambique,Sub-Saharan Africa,163.0,40.0,48.6,33.9,35.2,28.1,75.5,66.9,16.6,57.1,42.0,65.4,78.0,35.0,50.0,3.5,32.0,32.0,20.2,33.2,295.0,367.0,3.0,5.6,1244.0,250.0,15.3,22931.0,102.2,-18.665695,35.529562
Namibia,Sub-Saharan Africa,99.0,10.0,58.7,55.9,54.7,49.8,66.5,48.9,15.7,65.8,85.1,74.4,83.0,65.0,40.0,1.0,37.0,34.0,28.6,41.3,23.0,265.0,-1.2,3.6,11312.0,233.0,6.1,4160.0,46.1,-22.95764,18.49041
Nepal,Asia-Pacific,136.0,34.0,53.8,39.2,34.7,26.2,84.0,83.7,98.5,61.8,47.9,69.4,60.4,10.0,30.0,12.3,25.0,25.0,18.7,23.3,293.0,786.0,7.5,4.3,2679.0,27.0,4.5,1980.0,27.2,28.394857,84.124008
Netherlands,Europe,13.0,5.0,76.8,88.0,74.7,89.1,51.6,42.9,93.3,81.4,60.3,84.0,86.0,90.0,80.0,2.0,52.0,25.0,38.8,43.6,171.0,9161.0,3.1,1.8,53635.0,48.0,1.3,579567.0,56.7,52.132633,5.291266
New Zealand,Asia-Pacific,3.0,3.0,84.4,95.0,83.5,96.7,71.0,50.4,98.6,91.0,86.7,87.5,92.4,80.0,80.0,1.3,33.0,28.0,32.1,40.7,48.0,1886.0,3.0,3.3,38934.0,49.0,1.9,35720.0,26.4,-40.900557,174.885971
Nicaragua,Americas,107.0,21.0,57.7,33.4,18.7,20.3,76.9,79.1,93.9,56.0,55.8,72.7,76.0,60.0,50.0,2.0,30.0,30.0,22.6,26.4,62.0,364.0,4.9,4.8,5849.0,44.0,3.9,8966.0,33.6,12.865416,-85.207229
Niger,Sub-Saharan Africa,151.0,31.0,51.6,37.2,31.0,34.1,76.9,75.6,22.2,56.3,48.2,76.7,65.8,55.0,40.0,9.6,35.0,30.0,13.5,28.5,188.0,218.0,5.2,5.4,1164.0,4.0,2.4,3343.0,46.5,17.607789,8.081666
Nigeria,Sub-Saharan Africa,111.0,14.0,57.3,36.5,34.3,20.5,85.0,96.5,68.2,51.2,83.3,65.0,62.4,45.0,40.0,11.3,24.0,30.0,5.2,10.8,1887.0,11188.0,0.8,2.7,5929.0,70.0,16.5,35030.0,23.4,9.081999,8.675277
Norway,Europe,26.0,15.0,73.0,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75.0,60.0,3.4,47.8,23.0,38.0,49.9,53.0,3800.0,1.8,1.6,71831.0,42.0,1.9,82969.0,36.7,60.472024,8.468946
Oman,Middle East and North Africa,88.0,7.0,61.0,58.1,51.6,53.8,97.8,32.5,16.1,75.2,57.3,77.7,87.0,65.0,60.0,1.5,0.0,12.0,8.5,47.4,41.0,1866.0,-0.3,2.7,45157.0,33.0,1.6,18674.0,44.2,21.512583,55.923255
Pakistan,Asia-Pacific,131.0,32.0,55.0,41.5,40.2,30.6,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55.0,40.0,10.1,30.0,30.0,12.4,20.3,1973.0,10570.0,5.3,4.3,5358.0,40.0,4.1,28060.0,67.2,30.375321,69.345116
Panama,Americas,50.0,9.0,67.2,60.4,30.1,34.1,85.0,85.3,91.3,73.6,43.4,79.4,79.2,75.0,70.0,5.4,25.0,25.0,15.8,22.2,41.0,1039.0,5.4,5.8,25351.0,45.0,0.9,53192.0,38.2,8.537981,-80.782127
Papua New Guinea,Asia-Pacific,101.0,21.0,58.4,37.4,49.0,37.2,71.8,89.1,75.2,62.2,72.6,70.0,80.9,25.0,30.0,2.0,42.0,30.0,12.5,19.1,83.0,303.0,2.5,5.8,3675.0,27.0,5.2,2005.0,32.6,-6.314993,143.95555
Paraguay,Americas,85.0,18.0,61.8,39.5,30.0,25.5,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75.0,60.0,4.2,10.0,10.0,13.0,26.5,70.0,683.0,4.3,6.0,9826.0,46.0,3.6,3558.0,25.6,-23.442503,-58.443832
Peru,Americas,45.0,7.0,67.8,56.1,34.0,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75.0,60.0,1.8,30.0,28.0,16.0,21.5,318.0,4244.0,2.5,3.6,13334.0,36.0,2.8,67695.0,25.5,-9.189967,-75.015152
Philippines,Asia-Pacific,70.0,15.0,63.8,48.7,36.4,30.9,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60.0,60.0,3.4,35.0,30.0,13.7,19.4,1053.0,8756.0,6.7,6.6,8315.0,24.0,3.2,95243.0,37.8,12.879721,121.774017
