Country,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)$",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP)$,Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latitude,Longitude
Afghanistan,Asia-Pacific,152.0,39.0,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66.0,10.0,10.0,7.0,20.0,20.0,5.0,25.6,355.0,696.0,2.5,2.9,1958.0,88.0,5.0,539.0,7.3,33.93911,67.709953
Albania,Europe,52.0,27.0,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0,1.1,23.0,15.0,24.9,29.5,29.0,360.0,3.9,2.5,12507.0,139.0,2.0,11191.0,71.2,41.153332,20.168331
Algeria,Middle East and North Africa,171.0,14.0,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30.0,30.0,8.8,35.0,23.0,24.5,41.4,415.0,6329.0,2.0,3.1,15237.0,100.0,5.6,12030.0,25.8,28.033886,1.659626
Angola,Sub-Saharan Africa,156.0,33.0,50.6,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30.0,40.0,9.4,17.0,30.0,20.6,25.3,282.0,1903.0,0.7,2.9,6753.0,82.0,31.7,22545.0,65.3,-11.202692,17.873887
Argentina,Americas,148.0,26.0,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0,7.5,35.0,30.0,30.8,41.0,441.0,9202.0,2.9,0.7,20876.0,87.0,25.7,118570.0,52.6,-38.416097,-63.616672
Armenia,Europe,47.0,24.0,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0,2.1,26.0,20.0,21.3,26.4,30.0,283.0,7.5,3.6,9456.0,182.0,0.9,2457.0,53.5,40.069099,45.038189
Australia,Asia-Pacific,5.0,4.0,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,1.2,45.0,30.0,28.2,36.5,248.0,12465.0,2.3,2.4,50334.0,56.0,2.0,463680.0,41.6,-25.274398,133.775136
Austria,Europe,31.0,16.0,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0,2.0,50.0,25.0,42.7,50.2,88.0,4396.0,2.9,1.3,49869.0,55.0,2.2,96296.0,78.8,47.516231,14.550072
Azerbaijan,Asia-Pacific,60.0,13.0,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60.0,60.0,5.2,25.0,20.0,15.0,36.7,98.0,1718.0,0.1,1.2,17492.0,50.0,13.0,28670.0,54.7,40.143105,47.576927
Bahamas,Americas,76.0,15.0,62.9,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50.0,60.0,18.6,0.0,0.0,16.3,21.0,4.0,116.0,1.3,-0.7,31139.0,126.0,1.4,9277.0,57.2,25.03428,-77.39628
Bahrain,Middle East and North Africa,54.0,5.0,66.4,63.5,50.7,53.6,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75.0,80.0,3.1,0.0,0.0,5.6,35.3,15.0,704.0,3.2,3.8,48505.0,12.0,1.4,5189.0,90.3,25.930414,50.637772
Bangladesh,Asia-Pacific,121.0,27.0,55.6,36.1,34.5,24.4,72.7,94.5,77.6,50.9,68.2,69.9,63.6,45.0,30.0,10.7,25.0,45.0,8.8,13.6,1632.0,6871.0,7.1,6.7,4211.0,44.0,5.7,21516.0,32.4,23.684994,90.356331
Barbados,Americas,67.0,13.0,64.7,52.9,59.9,53.8,70.1,65.0,79.5,69.8,59.9,78.3,56.6,70.0,60.0,14.2,35.0,25.0,33.7,34.1,3.0,52.0,0.9,0.6,18664.0,97.0,4.4,2862.0,132.9,13.193887,-59.543198
Belarus,Europe,104.0,42.0,57.9,55.2,51.7,37.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0,1.8,13.0,18.0,23.8,44.2,95.0,1789.0,2.4,-0.3,18931.0,5.0,6.0,12764.0,51.0,53.709807,27.953389
Belgium,Europe,48.0,25.0,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0,2.0,50.0,29.0,44.2,53.2,114.0,5285.0,1.7,1.2,46553.0,74.0,2.2,7404.0,103.2,50.503887,4.469936
Belize,Americas,123.0,24.0,55.4,41.7,46.9,27.2,79.9,65.9,39.1,61.8,54.8,78.7,64.0,55.0,50.0,10.5,25.0,25.0,27.6,33.7,4.0,32.0,0.8,1.8,8324.0,93.0,1.1,770.0,99.0,17.189877,-88.49765
Benin,Sub-Saharan Africa,127.0,21.0,55.3,37.2,32.8,28.1,69.3,83.4,27.9,62.4,53.8,86.4,61.8,70.0,50.0,11.6,45.0,30.0,11.9,23.5,111.0,253.0,5.6,5.0,2277.0,25.0,0.1,1844.0,54.6,9.30769,2.315834
Bhutan,Asia-Pacific,74.0,16.0,62.9,62.5,55.4,54.5,83.0,71.6,77.6,68.7,79.5,72.6,79.4,20.0,30.0,2.8,25.0,30.0,13.4,30.7,8.0,70.0,6.0,5.2,8744.0,24.0,3.4,103.0,102.4,27.514162,90.433601
Bolivia,Americas,173.0,30.0,42.3,20.5,12.3,19.7,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15.0,40.0,4.8,13.0,25.0,31.1,41.1,111.0,836.0,4.2,5.1,7547.0,31.0,2.8,7247.0,50.9,-16.290154,-63.588653
Bosnia and Herzegovina,Europe,83.0,37.0,61.9,40.2,37.9,30.2,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0,1.2,10.0,10.0,37.0,42.4,35.0,446.0,2.7,2.5,12724.0,256.0,1.3,4252.0,41.0,43.915886,17.679076
Botswana,Sub-Saharan Africa,36.0,3.0,69.5,58.1,45.7,52.4,82.7,65.9,94.6,68.7,68.2,78.8,83.8,65.0,70.0,0.6,25.0,22.0,24.9,33.7,22.0,389.0,2.2,4.1,17828.0,174.0,3.3,4006.0,15.6,-22.328474,24.684866
Brazil,Americas,150.0,27.0,51.9,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69.0,50.0,50.0,8.0,27.5,34.0,32.2,38.6,2077.0,32403.0,1.0,-0.5,15603.0,133.0,3.4,627126.0,84.0,-14.235004,-51.92528
Brunei Darussalam,Asia-Pacific,63.0,14.0,65.1,64.0,56.0,43.7,90.7,59.9,20.0,80.2,90.8,76.5,84.0,65.0,50.0,0.5,0.0,18.5,24.2,36.6,4.0,335.0,0.5,-1.4,78196.0,71.0,-0.1,463.0,2.7,4.535277,114.727669
Bulgaria,Europe,37.0,19.0,69.0,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0,2.0,10.0,10.0,28.0,34.7,71.0,1531.0,3.6,2.7,21687.0,62.0,1.2,10707.0,23.9,42.733883,25.48583
Burkina Faso,Sub-Saharan Africa,96.0,9.0,59.4,49.1,42.9,36.6,81.9,80.0,61.8,51.6,52.3,86.2,65.2,65.0,40.0,7.4,27.5,28.0,16.3,25.8,189.0,358.0,6.4,5.3,1889.0,63.0,0.4,4859.0,38.3,12.238333,-1.561593
Burma,Asia-Pacific,139.0,35.0,53.6,34.7,18.1,30.6,86.6,85.4,78.3,52.8,65.7,69.6,70.8,30.0,20.0,4.6,20.0,30.0,6.5,22.1,526.0,3287.0,6.7,7.2,6244.0,8.0,5.1,43410.0,34.7,21.913965,95.956223
Burundi,Sub-Saharan Africa,162.0,39.0,48.9,20.6,31.0,26.2,74.0,83.3,23.3,50.3,67.5,62.2,68.2,50.0,30.0,5.9,35.0,35.0,12.3,23.6,109.0,80.0,0.0,1.1,735.0,16.0,16.6,3.0,56.7,-3.373056,29.918886
Cambodia,Asia-Pacific,105.0,22.0,57.8,37.4,27.6,16.7,89.7,85.9,89.1,29.9,63.0,79.4,65.4,60.0,50.0,9.8,20.0,20.0,15.0,21.7,160.0,643.0,6.9,7.1,4012.0,2.0,2.9,27844.0,35.1,12.565679,104.990963
Cameroon,Sub-Saharan Africa,145.0,29.0,52.4,42.5,31.3,25.5,74.4,87.5,58.4,44.4,47.8,84.0,53.4,30.0,50.0,15.8,35.0,33.0,15.6,20.4,243.0,889.0,3.2,4.9,3660.0,42.0,0.6,6725.0,33.8,7.369722,12.354722
Canada,Americas,8.0,1.0,77.7,87.0,69.4,84.6,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80.0,80.0,1.6,33.0,15.0,31.7,40.3,367.0,17693.0,3.0,2.1,48265.0,63.0,1.6,242438.0,89.7,56.130366,-106.346771
Cabo Verde,Sub-Saharan Africa,73.0,4.0,63.1,44.1,49.0,43.7,76.4,71.2,59.7,65.2,55.7,84.1,68.2,80.0,60.0,10.9,35.0,24.0,23.7,31.0,5.0,37.0,4.0,2.0,6944.0,103.0,0.8,1086.0,126.0,16.002082,-24.013197
Central African Republic,Sub-Saharan Africa,161.0,38.0,49.1,19.6,29.6,23.2,65.2,94.2,94.3,24.2,40.1,72.3,51.0,45.0,30.0,14.5,50.0,30.0,9.0,13.9,50.0,34.0,4.0,-4.5,677.0,60.0,3.8,172.0,53.4,6.611111,20.939444
Chad,Sub-Saharan Africa,159.0,36.0,49.9,26.7,24.6,23.2,46.1,92.4,85.2,28.1,43.2,82.3,47.2,60.0,40.0,16.4,60.0,45.0,5.3,15.9,122.0,286.0,-3.1,1.0,2344.0,59.0,-0.9,3350.0,52.5,15.454166,18.732207
Chile,Americas,18.0,3.0,75.4,68.7,56.3,62.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85.0,70.0,0.6,35.0,25.0,20.4,25.2,184.0,4511.0,1.5,2.2,24537.0,70.0,2.2,67296.0,23.6,-35.675147,-71.542969
China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,13901.0,231591.0,6.9,7.1,16660.0,47.0,1.6,1363200.0,47.8,35.86166,104.195397
Colombia,Americas,49.0,8.0,67.3,59.2,34.3,33.5,74.3,75.0,79.2,71.4,78.5,75.6,76.0,80.0,70.0,7.0,33.0,33.0,19.9,28.9,493.0,7140.0,1.8,3.2,14485.0,89.0,4.3,145180.0,49.4,4.570868,-74.297333
Comoros,Sub-Saharan Africa,124.0,20.0,55.4,36.5,29.6,24.4,63.9,73.4,91.7,57.2,60.3,82.8,70.0,45.0,30.0,5.0,30.0,50.0,14.5,29.8,8.0,13.0,2.5,2.2,1588.0,43.0,1.0,86.0,28.4,-11.875001,43.872219
"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,157.0,34.0,50.3,25.3,30.7,26.2,73.8,93.9,96.9,53.2,41.9,49.1,62.6,30.0,20.0,11.2,30.0,40.0,10.8,14.2,867.0,685.0,3.4,6.1,790.0,37.0,41.5,13402.0,15.7,-0.228021,15.827659
"Congo, Republic of",Sub-Saharan Africa,176.0,46.0,39.7,33.2,29.6,25.3,59.5,40.6,0.0,38.2,35.8,82.6,56.8,45.0,30.0,11.6,45.0,34.0,29.5,44.5,43.0,289.0,-4.6,1.1,6642.0,110.0,0.5,11588.0,119.1,-4.038333,21.758664
Costa Rica,Americas,61.0,11.0,65.3,58.3,54.0,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70.0,50.0,1.8,25.0,30.0,23.6,19.6,50.0,839.0,3.2,3.4,16877.0,81.0,1.6,30071.0,49.1,9.748917,-83.753428
Cï¿½te d'Ivoire,Sub-Saharan Africa,78.0,5.0,62.4,40.9,47.8,38.1,77.5,83.9,74.3,61.0,52.5,74.2,73.6,75.0,50.0,8.2,36.0,25.0,18.2,23.1,250.0,969.0,7.8,8.6,3883.0,26.0,0.8,6747.0,46.4,7.539989,-5.54708
Croatia,Europe,86.0,38.0,61.4,66.0,42.9,38.6,66.4,33.4,85.4,60.7,44.0,78.5,86.0,75.0,60.0,2.0,40.0,18.0,37.9,47.1,41.0,1013.0,2.8,1.5,24424.0,112.0,1.1,21042.0,78.4,45.1667,15.5
Cuba,Americas,178.0,31.0,27.8,31.6,10.0,37.7,48.8,0.0,15.6,20.0,20.0,65.6,64.0,10.0,10.0,8.0,50.0,30.0,41.5,64.2,115.0,1480.0,0.9,1.9,12920.0,26.0,5.5,81281.39779005524,47.7,21.521757,-77.781167
Cyprus,Europe,44.0,22.0,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84.0,86.0,75.0,60.0,2.0,35.0,12.5,33.6,38.7,9.0,316.0,3.9,0.3,37023.0,110.0,0.7,63433.0,99.3,35.126413,33.429859
Czech Republic,Europe,23.0,13.0,73.7,74.8,47.6,52.1,82.6,52.1,97.6,72.4,78.1,81.5,86.0,80.0,80.0,2.0,15.0,19.0,34.0,40.0,106.0,3757.0,4.3,2.9,35512.0,29.0,2.4,74122.0,34.7,49.817492,15.472962
Denmark,Europe,14.0,6.0,76.7,86.2,77.8,85.8,42.0,14.4,96.7,90.7,86.4,84.1,86.0,90.0,80.0,2.0,56.0,23.5,45.9,53.4,57.0,2868.0,2.1,1.6,49883.0,57.0,1.1,31147.0,36.4,56.26392,9.501785
Djibouti,Sub-Saharan Africa,169.0,43.0,47.1,29.7,18.1,28.1,76.2,27.3,18.1,54.7,60.4,72.7,50.4,80.0,50.0,17.3,30.0,25.0,29.2,49.2,10.0,36.0,6.7,6.1,3559.0,58.0,0.7,1650.0,30.6,11.825138,42.590275
Dominica,Americas,72.0,14.0,63.6,49.2,63.8,54.5,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70.0,30.0,8.4,35.0,30.0,25.8,39.4,1.0,8.0,-4.2,0.0,11102.0,73.96685082872928,0.6,189.0,87.6,15.414999,-61.370976
Dominican Republic,Americas,89.0,19.0,61.0,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70.0,40.0,4.6,25.0,27.0,13.6,17.9,102.0,1724.0,4.6,6.1,16944.0,55.0,3.3,35700.0,37.7,18.735693,-70.162651
Ecuador,Americas,170.0,29.0,46.9,35.9,20.2,25.3,77.0,55.5,32.1,54.1,48.2,73.5,66.4,35.0,40.0,6.8,35.0,25.0,21.2,38.5,168.0,1926.0,2.7,2.0,11482.0,38.0,0.4,6064.0,45.0,-1.831239,-78.183406
Egypt,Middle East and North Africa,144.0,11.0,52.5,37.0,48.3,29.2,85.2,68.1,0.0,65.9,51.6,62.3,71.8,60.0,50.0,6.6,25.0,23.0,18.0,32.6,948.0,12012.0,4.2,3.8,12671.0,121.0,23.5,73917.0,103.3,26.820553,30.802498
El Salvador,Americas,84.0,17.0,61.8,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79.0,81.4,75.0,60.0,1.8,30.0,30.0,19.7,21.4,64.0,570.0,2.4,2.1,8948.0,45.0,1.0,7919.0,59.3,13.794185,-88.89653
Equatorial Guinea,Sub-Saharan Africa,174.0,44.0,41.0,29.7,18.1,15.8,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40.0,30.0,15.6,35.0,35.0,20.4,32.8,8.0,304.0,-4.4,-5.6,36017.0,69.0,0.7,3041.0,42.7,1.650801,10.267895
Eritrea,Sub-Saharan Africa,177.0,47.0,38.9,35.5,18.1,19.7,81.4,73.9,0.0,17.7,70.0,61.0,69.2,0.0,20.0,5.4,30.0,30.0,8.0,29.5,59.0,94.0,5.0,3.4,1581.0,64.0,9.0,555.0,131.2,15.179384,39.782334
Estonia,Europe,15.0,7.0,76.6,81.5,76.0,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86.0,90.0,70.0,2.0,20.0,20.0,34.7,40.4,13.0,416.0,4.9,2.7,31750.0,58.0,3.7,7844.0,8.8,58.595272,25.013607
Eswatini,Sub-Saharan Africa,132.0,23.0,54.7,41.7,42.9,35.0,74.8,65.6,18.3,59.2,67.5,73.7,87.6,50.0,40.0,1.2,33.0,28.0,25.5,33.9,11.0,113.0,0.2,2.0,9884.0,264.0,6.3,1368.0,29.2,-26.522503,31.465866
Ethiopia,Sub-Saharan Africa,137.0,26.0,53.6,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58.0,60.8,60.8,35.0,20.0,12.1,35.0,30.0,12.4,17.9,927.0,2002.0,10.9,9.9,2161.0,52.0,9.9,35864.0,56.2,9.145,40.489673
Fiji,Asia-Pacific,81.0,18.0,62.2,67.3,42.9,23.4,81.1,71.7,82.4,63.0,72.9,73.5,62.8,55.0,50.0,11.1,29.0,20.0,25.5,30.7,9.0,87.0,3.8,3.7,9777.0,63.0,3.4,2990.0,46.6,-16.578193,179.414413
Finland,Europe,20.0,11.0,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86.0,85.0,80.0,2.0,31.3,20.0,44.1,55.6,55.0,2440.0,3.0,0.8,44333.0,86.0,0.8,13279.0,61.4,61.92411,25.748151
France,Europe,71.0,35.0,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75.0,70.0,2.0,45.0,33.0,45.3,56.6,648.0,28358.0,1.8,1.1,43761.0,94.0,1.2,497949.0,97.0,46.227638,2.213749
Gabon,Sub-Saharan Africa,118.0,17.0,56.3,28.1,30.6,35.5,75.8,86.6,82.1,52.1,53.0,80.0,51.2,60.0,40.0,16.9,35.0,30.0,17.3,21.1,19.0,367.0,0.8,3.4,19254.0,197.0,3.0,14980.0,61.1,-0.803689,11.609444
Gambia,Sub-Saharan Africa,146.0,30.0,52.4,39.9,42.5,41.2,74.3,70.7,0.0,54.0,67.4,62.4,61.6,65.0,50.0,14.2,35.0,32.0,17.9,31.3,21.0,36.0,3.5,3.1,1713.0,95.0,8.0,875.0,123.2,13.443182,-15.310139
Georgia,Europe,16.0,8.0,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76.0,88.6,80.0,70.0,0.7,20.0,15.0,25.8,29.6,37.0,397.0,4.8,3.7,10747.0,116.0,6.0,18619.0,44.9,42.315407,43.356892
Germany,Europe,24.0,14.0,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80.0,70.0,2.0,47.5,15.8,37.6,43.9,827.0,41708.0,2.5,1.7,50425.0,38.0,1.7,347263.0,64.1,51.165691,10.451526
Ghana,Sub-Saharan Africa,109.0,13.0,57.5,49.1,44.2,35.5,78.8,82.0,23.9,56.5,59.9,66.3,63.4,70.0,60.0,10.8,35.0,25.0,16.5,24.5,283.0,1337.0,8.4,5.5,4729.0,24.0,12.4,32550.0,71.8,7.946527,-1.023194
Greece,Europe,106.0,43.0,57.7,52.4,49.5,37.7,59.1,23.3,79.0,74.1,52.5,79.1,81.0,55.0,50.0,2.0,42.0,29.0,38.6,50.6,108.0,2987.0,1.4,-0.3,27737.0,215.0,1.1,40460.0,181.9,39.074208,21.824312
Guatemala,Americas,77.0,16.0,62.6,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77.0,82.2,70.0,50.0,1.4,31.0,31.0,12.6,12.1,169.0,1378.0,2.8,3.6,8145.0,27.0,4.4,11467.0,24.4,15.783471,-90.230759
Guinea,Sub-Saharan Africa,120.0,19.0,55.7,34.7,32.6,25.5,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50.0,40.0,10.9,40.0,35.0,15.3,18.4,130.0,265.0,6.7,4.9,2041.0,45.0,8.9,5765.0,39.7,9.945587,-9.696645
Guinea-Bissau,Sub-Saharan Africa,135.0,25.0,54.0,32.6,42.9,25.3,88.8,86.7,81.4,35.9,61.2,78.1,55.6,30.0,30.0,12.2,20.0,25.0,9.6,21.0,17.0,31.0,5.5,4.3,1845.0,61.0,1.1,166.0,42.0,11.803749,-15.180413
Guyana,Americas,113.0,23.0,56.8,41.7,42.9,33.2,67.0,69.4,77.6,59.3,62.0,76.9,66.8,55.0,30.0,6.6,33.3,40.0,24.4,32.0,8.0,63.0,2.1,3.5,8161.0,120.0,2.1,2122.0,50.7,4.860416,-58.93018
Haiti,Americas,143.0,25.0,52.7,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72.0,45.0,30.0,6.5,30.0,30.0,14.5,19.7,110.0,199.0,1.2,2.2,1815.0,140.0,14.7,3749.0,31.1,18.971187,-72.285215
Honduras,Americas,93.0,20.0,60.2,43.4,31.0,25.3,82.8,78.2,95.9,56.9,32.0,73.0,79.4,65.0,60.0,2.8,25.0,25.0,21.6,27.0,83.0,462.0,4.8,3.6,5562.0,45.0,3.9,11857.0,43.9,15.199999,-86.241905
Hong Kong,Asia-Pacific,1.0,1.0,90.2,93.3,75.3,83.8,93.1,90.3,100.0,96.4,89.2,86.4,95.0,90.0,90.0,0.0,15.0,16.5,14.0,17.9,74.0,4549.0,3.8,2.8,61393.0,31.0,1.5,1043330.0,0.1,22.396428,114.109497
Hungary,Europe,64.0,31.0,65.0,60.9,45.2,35.3,78.6,31.7,85.0,61.1,64.7,81.8,86.0,80.0,70.0,2.0,15.0,19.0,39.4,47.7,98.0,2890.0,4.0,3.2,29474.0,42.0,2.4,24916.0,69.9,47.162494,19.503304
Iceland,Europe,11.0,4.0,77.1,87.4,63.8,83.8,72.7,44.0,96.7,88.4,64.1,81.7,87.0,85.0,70.0,1.5,31.8,20.0,36.4,43.2,3.0,176.0,3.6,4.4,51842.0,28.0,1.8,54.0,40.9,64.963051,-19.020835
India,Asia-Pacific,129.0,31.0,55.2,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40.0,40.0,6.3,30.9,32.4,7.2,27.5,13169.0,94590.0,6.7,7.2,7183.0,35.0,3.6,399161.0,70.2,20.593684,78.96288
Indonesia,Asia-Pacific,56.0,11.0,65.8,52.2,53.5,39.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45.0,60.0,2.6,30.0,25.0,10.4,16.9,2620.0,32428.0,5.1,5.1,12377.0,42.0,3.8,230631.0,28.9,-0.789275,113.921327
Iran,Middle East and North Africa,155.0,13.0,51.1,33.5,41.3,35.0,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5.0,10.0,15.2,35.0,25.0,8.0,18.5,814.0,16447.0,4.3,3.6,20200.0,125.0,9.9,50190.0,40.9,32.427908,53.688046
Iraq,Middle East and North Africa,90.5,20.538888888888888,60.76833333333333,37.0,12.3,20.3,77.21277777777779,52.8,13.3,54.4,53.1,81.4,74.26098901098901,57.255434782608695,48.78453038674033,5.986813186813186,15.0,15.0,22.15754189944134,39.7,389.0,6588.0,-0.8,4.7,16954.0,82.0,0.1,50324.0,58.0,33.223191,43.679291
Ireland,Europe,6.0,2.0,80.5,85.8,68.4,78.0,76.3,77.4,89.0,83.1,75.3,87.0,86.0,90.0,70.0,2.0,41.0,12.5,23.0,27.4,47.0,3572.0,7.8,9.7,75538.0,64.0,0.3,289746.0,68.5,53.41291,-8.24389
Israel,Middle East and North Africa,27.0,2.0,72.8,80.0,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75.0,70.0,2.8,48.0,23.0,31.2,39.8,87.0,3165.0,3.3,3.5,36340.0,43.0,0.2,189540.0,61.0,31.046051,34.851612
Italy,Europe,80.0,36.0,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85.0,50.0,2.0,43.0,27.5,42.9,49.5,606.0,23109.0,1.5,0.3,38140.0,112.0,1.3,170771.0,131.5,41.87194,12.56738
Jamaica,Americas,39.0,5.0,68.6,60.7,49.2,45.0,80.2,76.0,80.0,78.0,73.6,82.6,68.4,80.0,50.0,10.8,25.0,25.0,27.1,28.3,28.0,261.0,1.0,0.8,9163.0,125.0,4.4,8880.0,104.1,18.109581,-77.297508
Japan,Asia-Pacific,30.0,8.0,72.1,84.1,68.5,78.0,68.2,55.0,55.7,80.5,79.0,85.9,80.0,70.0,60.0,2.5,40.8,23.9,30.7,38.7,1267.0,54288.0,1.7,1.3,42832.0,28.0,0.5,104298.0,236.4,36.204824,138.252924
Jordan,Middle East and North Africa,53.0,4.0,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85.0,81.4,70.0,60.0,4.3,14.0,20.0,16.3,29.8,71.0,891.0,2.3,2.5,12494.0,149.0,3.3,16648.0,95.6,30.585164,36.238414
Kazakhstan,Asia-Pacific,59.0,12.0,65.4,59.3,56.1,40.3,93.4,83.7,41.0,73.9,86.2,70.9,80.0,50.0,50.0,2.5,10.0,20.0,12.8,23.3,182.0,4776.0,4.0,3.3,26252.0,49.0,7.4,46337.0,21.2,48.019573,66.923684
Kenya,Sub-Saharan Africa,130.0,22.0,55.1,53.8,46.9,32.1,79.5,77.8,13.8,55.8,63.4,72.7,60.4,55.0,50.0,12.3,30.0,30.0,15.7,27.2,467.0,1631.0,4.8,5.5,3491.0,115.0,8.0,6717.0,55.6,-0.023559,37.906193
Kiribati,Asia-Pacific,168.0,41.0,47.3,44.1,34.3,35.1,73.0,0.0,98.6,41.9,50.7,81.1,53.2,25.0,30.0,15.9,35.0,35.0,15.7,117.9,1.0,2.0,3.1,3.6,1976.0,73.96685082872928,2.2,14.0,26.3,-3.370417,-168.734039
"Korea, North ",Asia-Pacific,180.0,43.0,5.9,31.6,5.0,24.4,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,50.0,28.183060109289617,23.891256830601094,22.15754189944134,100.0,254.0,400.0,1.1,2.984153005464481,1700.0,48.0,5.208241758241758,634.0,56.46923076923077,40.339852,127.510093
"Korea, South",Asia-Pacific,29.0,7.0,72.3,79.3,57.5,50.5,64.2,68.6,96.8,91.3,57.4,82.0,80.4,70.0,70.0,4.8,46.2,27.5,26.3,32.4,515.0,20290.0,3.1,3.0,39434.0,37.0,1.9,170528.0,39.8,35.907757,127.766922
Kosovo,Europe,51.0,26.0,67.0,57.2,53.5,44.7,92.5,77.7,96.0,73.8,64.9,78.3,70.8,65.0,30.0,7.1,10.0,10.0,23.5,27.2,19.0,196.0,4.1,3.4,10515.0,73.96685082872928,1.5,36.0,20.9,42.602636,20.902977
Kuwait,Middle East and North Africa,90.0,8.0,60.8,52.9,43.3,35.3,97.7,17.3,99.1,57.4,61.7,70.6,79.0,55.0,60.0,3.0,0.0,15.0,1.6,52.5,44.0,2915.0,-2.5,-0.1,66163.0,21.0,1.5,3005.0,20.6,29.31166,47.481766
Kyrgyz Republic,Asia-Pacific,79.0,17.0,62.3,49.9,27.9,27.2,94.1,54.2,78.4,73.4,79.8,74.4,78.6,60.0,50.0,3.2,10.0,10.0,19.7,39.1,63.0,230.0,4.5,5.4,3667.0,73.0,3.2,938.0,59.1,41.20438,74.766098
Laos,Asia-Pacific,110.0,24.0,57.4,38.8,42.5,33.5,86.9,85.3,66.5,60.1,60.1,78.5,81.8,35.0,20.0,1.6,24.0,24.0,12.8,22.1,67.0,492.0,6.8,7.4,7366.0,7.0,0.8,8130.0,62.8,19.85627,102.495496
